engine,dataset,num_nodes,num_edges,csr_nnz,mpi_ranks,omp_threads,damping,tol,iterations,converged,final_error,load_time_s,total_time_s,spmv_time_s,comm_time_s,comp_time_s,damp_time_s,comm_pct,comp_pct,avg_spmv_ms,avg_comm_ms,avg_comp_ms,mem_before_kb,mem_after_kb,mem_peak_rss_kb,l1_vs_ref,top10_match
CSR_Serial,web-Stanford,281903,2312497,2312497,1,1,0.85,1e-06,63,yes,9.22275e-07,0.786664,1.21757,1.08135,0,1.08135,0.13615,0,100,17.1643,0,17.1643,39424,46176,46176,4.44303e-15,10
OMP_CSR_t1,web-Stanford,281903,2312497,2312497,1,1,0.85,1e-06,63,yes,9.22275e-07,0.786664,1.21756,1.0818,0,1.0818,0.135649,0,100,17.1714,0,17.1714,52696,52800,52800,4.44303e-15,10
MPI_CSR_p1,web-Stanford,281903,2312497,2312497,1,1,0.85,1e-06,63,yes,9.22275e-07,0.786664,2.35179,1.67661,0.574148,1.10246,0.123676,34.2446,65.7554,26.6129,9.11346,17.4994,52800,79764,79764,4.44303e-15,10
Hybrid_p1_t1,web-Stanford,281903,2312497,2312497,1,1,0.85,1e-06,63,yes,9.22275e-07,0.786664,2.28376,1.62475,0.561032,1.06372,0.119784,34.5304,65.4696,25.7897,8.90527,16.8844,79764,79940,79940,4.44303e-15,10
CSR_Serial,web-Stanford,281903,2312497,2312497,1,2,0.85,1e-06,63,yes,9.22275e-07,0.775312,1.20224,1.06817,0,1.06817,0.134008,0,100,16.9551,0,16.9551,39420,46172,46172,4.44303e-15,10
OMP_CSR_t2,web-Stanford,281903,2312497,2312497,1,2,0.85,1e-06,63,yes,9.22275e-07,0.775312,1.20071,1.06761,0,1.06761,0.133039,0,100,16.9462,0,16.9462,52636,52636,52636,4.44303e-15,10
MPI_CSR_p1,web-Stanford,281903,2312497,2312497,1,2,0.85,1e-06,63,yes,9.22275e-07,0.775312,2.32188,1.64887,0.573287,1.07558,0.124852,34.7684,65.2316,26.1726,9.09979,17.0728,52636,79924,79924,4.44303e-15,10
Hybrid_p1_t2,web-Stanford,281903,2312497,2312497,1,2,0.85,1e-06,63,yes,9.22275e-07,0.775312,2.25933,1.60745,0.550952,1.0565,0.11517,34.2749,65.7251,25.5151,8.74528,16.7699,79924,79924,79924,4.44303e-15,10
CSR_Serial,web-Stanford,281903,2312497,2312497,1,4,0.85,1e-06,63,yes,9.22275e-07,0.740365,1.21215,1.0768,0,1.0768,0.135277,0,100,17.0921,0,17.0921,39432,46180,46180,4.44303e-15,10
OMP_CSR_t4,web-Stanford,281903,2312497,2312497,1,4,0.85,1e-06,63,yes,9.22275e-07,0.740365,1.21157,1.07872,0,1.07872,0.132771,0,100,17.1226,0,17.1226,52648,52648,52648,4.44303e-15,10
MPI_CSR_p1,web-Stanford,281903,2312497,2312497,1,4,0.85,1e-06,63,yes,9.22275e-07,0.740365,2.32862,1.64639,0.568232,1.07816,0.131504,34.5138,65.4862,26.1332,9.01955,17.1137,52648,79952,79952,4.44303e-15,10
Hybrid_p1_t4,web-Stanford,281903,2312497,2312497,1,4,0.85,1e-06,63,yes,9.22275e-07,0.740365,2.25795,1.59572,0.548761,1.04696,0.125775,34.3896,65.6104,25.3289,8.7105,16.6184,79952,79952,79952,4.44303e-15,10
MPI_CSR_p2,web-Stanford,281903,2312497,2312497,2,1,0.85,1e-06,63,yes,9.22275e-07,0.538075,2.03929,1.32196,0.714253,0.607704,0.141155,54.03,45.97,20.9834,11.3373,9.6461,39780,64772,64772,4.44303e-15,10
Hybrid_p2_t1,web-Stanford,281903,2312497,2312497,2,1,0.85,1e-06,63,yes,9.22275e-07,0.538075,2.00917,1.30331,0.676625,0.626686,0.138503,51.9158,48.0842,20.6875,10.7401,9.9474,64772,64788,64788,4.44303e-15,10
MPI_CSR_p2,web-Stanford,281903,2312497,2312497,2,2,0.85,1e-06,63,yes,9.22275e-07,0.676886,1.95524,1.2186,0.676091,0.542507,0.134318,55.4811,44.5189,19.3428,10.7316,8.61122,39584,64808,64808,4.44303e-15,10
Hybrid_p2_t2,web-Stanford,281903,2312497,2312497,2,2,0.85,1e-06,63,yes,9.22275e-07,0.676886,1.788,1.25151,0.691881,0.559624,0.136661,55.2839,44.7161,19.8652,10.9822,8.88292,64808,64832,64832,4.44303e-15,10
MPI_CSR_p2,web-Stanford,281903,2312497,2312497,2,4,0.85,1e-06,63,yes,9.22275e-07,0.515335,1.7604,1.1413,0.630546,0.510754,0.115124,55.2481,44.7519,18.1159,10.0087,8.10721,39604,64788,64788,4.44303e-15,10
Hybrid_p2_t4,web-Stanford,281903,2312497,2312497,2,4,0.85,1e-06,63,yes,9.22275e-07,0.515335,1.65956,1.18103,0.667628,0.513406,0.11573,56.5291,43.4709,18.7466,10.5973,8.1493,64788,64828,64828,4.44303e-15,10
MPI_CSR_p4,web-Stanford,281903,2312497,2312497,4,1,0.85,1e-06,63,yes,9.22275e-07,1.04164,12.8459,7.66193,7.22337,0.438553,0.134993,94.2762,5.72379,121.618,114.657,6.96115,39604,57232,57232,4.44303e-15,10
Hybrid_p4_t1,web-Stanford,281903,2312497,2312497,4,1,0.85,1e-06,63,yes,9.22275e-07,1.04164,12.4373,7.367,7.0096,0.357401,0.10904,95.1486,4.85138,116.936,111.263,5.67303,57232,57248,57248,4.44303e-15,10
MPI_CSR_p4,web-Stanford,281903,2312497,2312497,4,2,0.85,1e-06,63,yes,9.22275e-07,1.82797,37.6574,25.4172,25.1683,0.248831,0.116862,99.021,0.978987,403.447,399.497,3.94969,39628,57256,57256,4.44303e-15,10
