engine,dataset,num_nodes,num_edges,csr_nnz,mpi_ranks,omp_threads,damping,tol,iterations,converged,final_error,load_time_s,total_time_s,spmv_time_s,comm_time_s,comp_time_s,damp_time_s,comm_pct,comp_pct,avg_spmv_ms,avg_comm_ms,avg_comp_ms,mem_before_kb,mem_after_kb,mem_peak_rss_kb,l1_vs_ref,top10_match
CSR_Serial,web-Stanford,281903,2312497,2312497,1,2,0.85,1e-06,63,yes,9.22275e-07,0.357484,0.239714,0.222674,0,0.222674,0.0157368,0,100,3.53451,0,3.53451,60896,74208,74208,4.46353e-15,10
OMP_CSR_t2,web-Stanford,281903,2312497,2312497,1,2,0.85,1e-06,63,yes,9.22275e-07,0.357484,0.139037,0.12136,0,0.12136,0.0162412,0,100,1.92635,0,1.92635,83040,83152,83152,4.46353e-15,10
MPI_CSR_p1,web-Stanford,281903,2312497,2312497,1,2,0.85,1e-06,63,yes,9.22275e-07,0.357484,0.378274,0.267677,0.051088,0.216589,0.0160942,19.0857,80.9143,4.24884,0.810921,3.43792,91984,118848,118848,4.46353e-15,10
Hybrid_p1_t2,web-Stanford,281903,2312497,2312497,1,2,0.85,1e-06,63,yes,9.22275e-07,0.357484,0.269262,0.167245,0.049005,0.11824,0.0154684,29.3013,70.6987,2.65468,0.777857,1.87683,118848,123264,123264,4.46353e-15,10
CSR_Serial,web-Stanford,281903,2312497,2312497,1,4,0.85,1e-06,63,yes,9.22275e-07,0.334538,0.234871,0.217889,0,0.217889,0.015703,0,100,3.45855,0,3.45855,60928,74208,74208,4.46353e-15,10
OMP_CSR_t4,web-Stanford,281903,2312497,2312497,1,4,0.85,1e-06,63,yes,9.22275e-07,0.334538,0.0919073,0.0741391,0,0.0741391,0.0162792,0,100,1.17681,0,1.17681,83040,87616,87616,4.46353e-15,10
MPI_CSR_p1,web-Stanford,281903,2312497,2312497,1,4,0.85,1e-06,63,yes,9.22275e-07,0.334538,0.368937,0.26581,0.050902,0.214908,0.0156439,19.1498,80.8502,4.21921,0.807968,3.41124,96448,122160,122160,4.46353e-15,10
Hybrid_p1_t4,web-Stanford,281903,2312497,2312497,1,4,0.85,1e-06,63,yes,9.22275e-07,0.334538,0.22318,0.120458,0.0489,0.071558,0.0156812,40.5951,59.4049,1.91203,0.77619,1.13584,122160,122160,122160,4.46353e-15,10
MPI_CSR_p2,web-Stanford,281903,2312497,2312497,2,2,0.85,1e-06,63,yes,9.22275e-07,0.345459,0.266392,0.180873,0.064684,0.116189,0.0165708,35.7621,64.2379,2.871,1.02673,1.84427,61328,126816,126816,4.46353e-15,10
Hybrid_p2_t2,web-Stanford,281903,2312497,2312497,2,2,0.85,1e-06,63,yes,9.22275e-07,0.345459,0.210105,0.127063,0.061317,0.065746,0.0162658,48.2572,51.7428,2.01687,0.973286,1.04359,131232,133584,133584,4.46353e-15,10
MPI_CSR_p2,web-Stanford,281903,2312497,2312497,2,4,0.85,1e-06,63,yes,9.22275e-07,0.350796,0.268668,0.187618,0.072984,0.114634,0.0164383,38.9003,61.0997,2.97806,1.15848,1.81959,61280,128400,128400,4.46353e-15,10
Hybrid_p2_t4,web-Stanford,281903,2312497,2312497,2,4,0.85,1e-06,63,yes,9.22275e-07,0.350796,0.227965,0.142602,0.071788,0.070814,0.0164267,50.3415,49.6585,2.26352,1.13949,1.12403,128400,128544,128544,4.46353e-15,10
